0211915	Amélie	2001	122	Comedy,Romance
0947798	Black Swan	2010	108	Drama,Thriller
0770828	Man of Steel	2013	143	Action,Adventure,Fantasy
0458339	Captain America: The First Avenger	2011	124	Action,Adventure,Sci-Fi
1843866	Captain America: The Winter Soldier	2014	136	Action,Adventure,Sci-Fi
0317248	City of God	2002	130	Crime,Drama
1228705	Iron Man 2	2010	124	Action,Sci-Fi
0145487	Spider-Man	2002	121	Action,Adventure,Sci-Fi
0121766	Star Wars: Episode III - Revenge of the Sith	2005	140	Action,Adventure,Fantasy
0480249	I Am Legend	2007	101	Drama,Horror,Sci-Fi
0253474	The Pianist	2002	150	Biography,Drama,Music
2395427	Avengers: Age of Ultron	2015	141	Action,Adventure,Sci-Fi
0075314	Taxi Driver	1976	114	Crime,Drama
0097576	Indiana Jones and the Last Crusade	1989	127	Action,Adventure,Fantasy
2278388	The Grand Budapest Hotel	2014	99	Adventure,Comedy,Drama
0083658	Blade Runner	1982	117	Sci-Fi,Thriller
1045658	Silver Linings Playbook	2012	122	Comedy,Drama,Romance
1877832	X-Men: Days of Future Past	2014	132	Action,Adventure,Sci-Fi
0060196	The Good, the Bad and the Ugly	1966	161	Western
0383574	Pirates of the Caribbean: Dead Man's Chest	2006	151	Action,Adventure,Fantasy
2084970	The Imitation Game	2014	114	Biography,Drama,Thriller
0378194	Kill Bill: Vol. 2	2004	137	Action,Crime,Thriller
1270798	X-Men: First Class	2011	131	Action,Adventure,Sci-Fi
1136608	District 9	2009	112	Sci-Fi,Thriller
0093058	Full Metal Jacket	1987	116	Drama,War
1663202	The Revenant	2015	156	Action,Adventure,Biography
0892769	How to Train Your Dragon	2010	98	Action,Adventure,Animation
2582802	Whiplash	2014	106	Drama,Music
0090605	Aliens	1986	137	Action,Adventure,Sci-Fi
1074638	Skyfall	2012	143	Action,Adventure,Thriller
1504320	The King's Speech	2010	118	Biography,Drama,History
0317705	The Incredibles	2004	115	Action,Adventure,Animation
0117951	Trainspotting	1996	93	Drama
0440963	The Bourne Ultimatum	2007	115	Action,Mystery,Thriller
0405159	Million Dollar Baby	2004	132	Drama,Sport
0050083	12 Angry Men	1957	96	Crime,Drama
1951264	The Hunger Games: Catching Fire	2013	146	Action,Adventure,Sci-Fi
0418279	Transformers	2007	144	Action,Adventure,Sci-Fi
2024544	12 Years a Slave	2013	134	Biography,Drama,History
0382932	Ratatouille	2007	111	Adventure,Animation,Comedy
0121765	Star Wars: Episode II - Attack of the Clones	2002	142	Action,Adventure,Fantasy
0457430	Pan's Labyrinth	2006	118	Drama,Fantasy,War
1285016	The Social Network	2010	120	Biography,Drama
2975590	Batman v Superman: Dawn of Justice	2016	151	Action,Adventure,Fantasy
1170358	The Hobbit: The Desolation of Smaug	2013	161	Adventure,Fantasy
0796366	Star Trek	2009	127	Action,Adventure,Sci-Fi
0241527	Harry Potter and the Sorcerer's Stone	2001	152	Adventure,Family,Fantasy
0116282	Fargo	1996	98	Crime,Drama,Thriller
0449088	Pirates of the Caribbean: At World's End	2007	169	Action,Adventure,Fantasy
0126029	Shrek	2001	90	Adventure,Animation,Comedy
0816711	World War Z	2013	116	Action,Adventure,Horror
4154756	Avengers: Infinity War	2018	149	Action,Adventure,Fantasy
1670345	Now You See Me	2013	115	Crime,Mystery,Thriller
0988045	Sherlock Holmes	2009	128	Action,Adventure,Crime
3498820	Captain America: Civil War	2016	147	Action,Adventure,Sci-Fi
0245429	Spirited Away	2001	125	Adventure,Animation,Family
0078788	Apocalypse Now	1979	147	Drama,War
0114746	Twelve Monkeys	1995	129	Mystery,Sci-Fi,Thriller
0118799	Life Is Beautiful	1997	116	Comedy,Drama,Romance
0936501	Taken	2008	93	Action,Crime,Thriller
1631867	Edge of Tomorrow	2014	113	Action,Sci-Fi
1446714	Prometheus	2012	124	Adventure,Mystery,Sci-Fi
0381061	Casino Royale	2006	144	Action,Adventure,Thriller
1637725	Ted	2012	106	Comedy,Fantasy,Romance
2802144	Kingsman: The Secret Service	2014	129	Action,Adventure,Comedy
0107048	Groundhog Day	1993	101	Comedy,Fantasy,Romance
0421715	The Curious Case of Benjamin Button	2008	166	Drama,Fantasy,Romance
0062622	2001: A Space Odyssey	1968	149	Adventure,Sci-Fi
3315342	Logan	2017	137	Action,Drama,Sci-Fi
1024648	Argo	2012	120	Biography,Drama,Thriller
0369610	Jurassic World	2015	124	Action,Adventure,Sci-Fi
0120903	X-Men	2000	104	Action,Adventure,Sci-Fi
0454876	Life of Pi	2012	127	Adventure,Drama,Fantasy
0054215	Psycho	1960	109	Horror,Mystery,Thriller
0948470	The Amazing Spider-Man	2012	136	Action,Adventure,Sci-Fi
0758758	Into the Wild	2007	148	Adventure,Biography,Drama
2096673	Inside Out	2015	95	Adventure,Animation,Comedy
1981115	Thor: The Dark World	2013	112	Action,Adventure,Fantasy
0113277	Heat	1995	170	Crime,Drama,Thriller
0780504	Drive	2011	100	Crime,Drama
1392214	Prisoners	2013	153	Crime,Drama,Mystery
1386697	Suicide Squad	2016	123	Action,Adventure,Fantasy
2294629	Frozen	2013	102	Adventure,Animation,Comedy
2562232	Birdman or (The Unexpected Virtue of Ignorance)	2014	119	Comedy,Drama
0073195	Jaws	1975	124	Adventure,Drama,Thriller
1276104	Looper	2012	113	Action,Crime,Drama
1250777	Kick-Ass	2010	117	Action,Comedy
0316654	Spider-Man 2	2004	127	Action,Adventure,Sci-Fi
0116629	Independence Day	1996	145	Action,Adventure,Sci-Fi
2543164	Arrival	2016	116	Drama,Mystery,Sci-Fi
0120735	Lock, Stock and Two Smoking Barrels	1998	107	Comedy,Crime
0119488	L.A. Confidential	1997	138	Crime,Drama,Mystery
1219289	Limitless	2011	105	Mystery,Sci-Fi,Thriller
0295297	Harry Potter and the Chamber of Secrets	2002	161	Adventure,Family,Fantasy
0829482	Superbad	2007	113	Comedy
0330373	Harry Potter and the Goblet of Fire	2005	157	Adventure,Family,Fantasy
0304141	Harry Potter and the Prisoner of Azkaban	2004	142	Adventure,Family,Fantasy
0290334	X-Men 2	2003	134	Action,Adventure,Sci-Fi
0234215	The Matrix Reloaded	2003	138	Action,Sci-Fi
1232829	21 Jump Street	2012	109	Action,Comedy,Crime
0258463	The Bourne Identity	2002	119	Action,Mystery,Thriller
1211837	Doctor Strange	2016	115	Action,Adventure,Fantasy
1318514	Rise of the Planet of the Apes	2011	105	Action,Drama,Sci-Fi
0240772	Ocean's Eleven	2001	116	Crime,Thriller
0119654	Men in Black	1997	98	Adventure,Comedy,Mystery
0034583	Casablanca	1942	102	Drama,Romance,War
0478970	Ant-Man	2015	117	Action,Adventure,Comedy
0332280	The Notebook	2004	123	Drama,Romance
0162222	Cast Away	2000	143	Adventure,Drama,Romance
